Date,District,Type of Event,Question and Remarks
20180601,BUDAUN,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01061813126?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: Caller santust hai up100 ,,,,,,,,,,,Caller Police Station gaye lekin unki koi bhi sahayta nahi kari gai.  "
20180701,MUZAFFARNAGAR,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01071800687?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Misbehaviour by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: caller ne kaha hai ki thane ki ki police driver ke sath abhadrata ki thi aur caller  ke sath me bhi abhadrata ki thi ,    Caller santust hai PRV time par pahuch gai thi aur caller ki puri sahayta kari.  "
20180713,SHAHJAHANPUR,DOMESTIC VIOLENCE,"  Q: Can we take your valuable feedback on your registered event with UP100 P13071801093?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi,   koi sahayata nahi kari chali gai ,  "
20180701,BUDAUN,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01071803059?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: PRV 1316 ki police mauke par  nhi aayi thi call aayi thi bol rhe the bijli walo ko suchna di h a rahe  lekin koi nhi aaya tha caller santust nhi h  
20180701,AZAMGARH,ACCIDENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P01071803119?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: PRV did not reach at the place of event.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: caller ke anusar  koi police nhi aai thi or na hi police ka koi phone aya tha  caller ne waha par 30 minute tak wait kiya  tha ,,,,,,,,,,,,,,lakin koi police nhi aai thi ,,,,,,,,,,, "
20180707,KANPUR CITY,FEMALE HARRASSMENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P07071814627?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi,   muljim nahi pakda gaya hai ,  "
20180708,BALRAMPUR,DOMESTIC VIOLENCE,"  Q: Can we take your valuable feedback on your registered event with UP100 P08071809437?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi,  police dwara samjhaya gaya tha , sahyta kari thi , police jane ke baad dobara pareshan kiya gaya tha , kal police ne caller ko thana jane se mana kar diya tha , NOT_SATISFIED      "
20180724,GORAKHPUR,ATTEMPTED MURDER,"  Q: Can we take your valuable feedback on your registered event with UP100 P24071810706?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi, apradhi bhag gaye the , koi karwahi nahi ho pai thi ,  "
20180706,HAMIRPUR,THEFT,"  Q: Can we take your valuable feedback on your registered event with UP100 P06071811343?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi, koi karwahi nahi hui hai ,  "
20180710,KANPUR CITY,DOMESTIC VIOLENCE,"  Q: Can we take your valuable feedback on your registered event with UP100 P10071814459?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi, koi karwahi nahi ki , bachcha bhi nahi dilaya tha ,  "
20180701,LUCKNOW,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01071812267?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: Caller santusth hai PRV time par pahunch gayi thi aur caller ki puri sahayta kari. PS:-  thana ki  police ki karyawahi se  caller santusht  nahi hai   
20180701,AGRA,ACCIDENT,  Q: Can we take your valuable feedback on your registered event with UP100 P01071812866?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: No action taken by Police Station staff.    Q: Do you want to share any additional feedback?   Ans: NO    Comment: Ans:    Remark: Ans: caller ne  bataya ki  police  aai  thi  lekin  abhi  koi  madad  nahi  kiya  thane  ki  police  ne  koi  report  darj  nahi  hui  hai  aaj  thane  gay  the abhi  koi  sahayata  nahi  mili  ham  santusht  nahi  hai  
20180629,SAMBHAL,FEMALE HARRASSMENT,"  Q: Can we take your valuable feedback on your registered event with UP100 P29061806537?   Ans: YES    Q: Are you satisfied with the immediate relief provided to address your issue?   Ans: Not Satisfied    Q: Please select the reason   Ans: Others    Comment: Ans:    Remark: Ans:    Caller_Santusht nahi _hai,   PRV time par pahuch gayi thi, koi sahayta nahi kari , janch bhi nahi kari ,  "
